continual_event,video_num,filename,event_labels_1,event_labels_2,event_labels_3,event_labels_4,event_labels_5,event_labels_6
1,1,94QswSZV5wY_90_100,"Cello,Violin_fiddle",,,,,
1,1,4y9oZWkMxMA_30_40,Violin_fiddle,,,,,
1,1,2YOCkd1aJ2c_30_40,"Speech,Car",,,,,
1,1,NeZ635wKLsE_90_100,"Speech,Fire_alarm",,,,,
1,1,JKI2a8fZtPg_30_40,Frying_(food),,,,,
1,1,1HOdVz725U0_140_150,Helicopter,,,,,
1,1,IaAaYoXjbKQ_150_160,"Speech,Dog",,,,,
1,1,FfL1nTnL8xw_160_170,"Speech,Vacuum_cleaner",,,,,
1,1,AFuQrHc20tU_30_40,"Helicopter,Speech",,,,,
1,1,0QGOjPiPAnw_70_80,"Speech,Car",,,,,
1,1,PBN3eC3HlZA_30_40,"Violin_fiddle,Speech",,,,,
1,1,Hv8Hu2xuHPQ_10_20,"Singing,Speech",,,,,
1,1,2rRvqgwUZjU_2_12,Motorcycle,,,,,
1,1,1v8lZF8BBtY_10_20,Helicopter,,,,,
1,1,O_22nCWoVEs_120_130,"Basketball_bounce,Speech",,,,,
1,1,0bOQMvluFFs_10_20,Car,,,,,
1,1,KaRUHkf-7rU_150_160,"Speech,Baby_cry_infant_cry",,,,,
1,1,EyBwCTiXWdA_30_40,Helicopter,,,,,
1,1,OTt5b15aGrc_70_80,"Singing,Acoustic_guitar",,,,,
1,1,ETT-mQ4hvhE_110_120,Vacuum_cleaner,,,,,
1,1,1Ati2jA2myo_30_40,"Cheering,Speech",,,,,
1,1,DyxKcHQ1ZXc_80_90,"Cat,Speech",,,,,
1,1,FEIgj0gb4qY_370_380,"Cello,Violin_fiddle",,,,,
1,1,6DTs2GTeo1c_20_30,Baby_cry_infant_cry,,,,,
1,1,-uC-9agJePc_30_40,Accordion,,,,,
1,1,Fo7bQMeAjO4_210_220,"Speech,Frying_(food)",,,,,
1,1,JFMvUwmkT5U_220_230,"Motorcycle,Speech",,,,,
1,1,4mJ-Wwq5ijw_140_150,Cheering,,,,,
1,1,2Lh8TnqVDxw_530_540,"Singing,Cheering",,,,,
1,1,EcO8Icws03k_140_150,"Singing,Clapping",,,,,
1,1,Hr8etqij5vc_16_26,"Speech,Dog",,,,,
1,1,-0Bkyt8iZ1I_8_18,"Speech,Car",,,,,
1,1,4dPxaf3PT4E_20_30,Blender,,,,,
1,1,EaNJT9Gntf4_80_90,Helicopter,,,,,
1,1,MaMfDJzAsfc_90_100,Fire_alarm,,,,,
1,1,4tuKQQTQ-5g_30_40,"Speech,Frying_(food)",,,,,
1,1,5QuTqVAMhVM_30_40,Motorcycle,,,,,
1,1,BQuJ3sG13WE_70_80,Chicken_rooster,,,,,
1,1,6Yv8NkFdGqs_18_28,Baby_cry_infant_cry,,,,,
1,1,MQC6IFUIwcQ_100_110,"Singing,Cheering",,,,,
1,1,KOQrwL6j7Gc_230_240,"Singing,Speech",,,,,
1,1,O1wEumOtzEw_10_20,Baby_laughter,,,,,
1,1,2jehcPtJJR0_30_40,"Speech,Car",,,,,
1,1,MwD5bm51e04_390_400,"Acoustic_guitar,Speech",,,,,
1,1,O6hCAPRGdwQ_40_50,"Acoustic_guitar,Speech",,,,,
1,1,02tQ5sCp3sY_30_40,Accordion,,,,,
1,1,14qn5WPIYvo_10_20,"Speech,Car",,,,,
1,1,KRk_e8ILveA_30_40,Baby_cry_infant_cry,,,,,
1,1,4FtrYnyz_ag_0_10,Accordion,,,,,
1,1,JpYmL9_z5PU_120_130,"Cello,Violin_fiddle",,,,,
1,1,Bcdjlu2nr_A_90_100,Singing,,,,,
1,1,LeNaX2iyfHg_130_140,Chicken_rooster,,,,,
1,1,CWoiCSrBmrE_60_70,"Speech,Dog",,,,,
1,1,MVO4vt4wku0_330_340,Blender,,,,,
1,1,CozvDrHXYL4_170_180,"Basketball_bounce,Speech",,,,,
1,1,LK46-nRA76o_0_10,"Basketball_bounce,Speech",,,,,
1,1,HTKLaCdAQB4_30_40,"Speech,Fire_alarm",,,,,
1,1,N5De8BndvNY_120_130,"Basketball_bounce,Speech",,,,,
1,1,Bqucahha32A_30_40,"Speech,Baby_cry_infant_cry",,,,,
1,1,DNzCht6ZEXk_12_22,"Violin_fiddle,Speech",,,,,
1,1,G0ykjTHR4G0_200_210,"Speech,Dog",,,,,
1,1,CF9N0mTu9vA_70_80,"Singing,Speech",,,,,
1,1,52dupxkQbFo_260_270,Blender,,,,,
1,1,92EeHB3SD78_10_20,"Basketball_bounce,Speech",,,,,
1,1,DB6CZB7mWCs_580_590,"Speech,Dog",,,,,
1,1,FUqW3rNZmws_130_140,Vacuum_cleaner,,,,,
1,1,JRdSLgo9UEc_0_10,"Singing,Speech",,,,,
1,1,LI-X_xdqRaU_120_130,"Singing,Speech",,,,,
1,1,DAcIsXKfvaA_30_40,"Singing,Speech",,,,,
1,1,NVFiSV9HuVE_90_100,"Telephone_bell_ringing,Speech",,,,,
1,1,J8XhYS2lwDM_230_240,Frying_(food),,,,,
1,1,HvbTjLzqwjA_120_130,"Chicken_rooster,Speech",,,,,
1,1,GzYqzGd4hMs_30_40,"Violin_fiddle,Speech",,,,,
1,1,AQQjkLxWZig_220_230,"Basketball_bounce,Speech",,,,,
1,1,OeMcDI43L9o_0_10,"Speech,Dog",,,,,
1,1,NlGtmocqKps_20_30,Accordion,,,,,
1,1,OVyNHXmBD5w_30_40,"Acoustic_guitar,Violin_fiddle",,,,,
1,1,FSQ2vBJ0hmw_15_25,Baby_cry_infant_cry,,,,,
1,1,DGWmXtlCBbo_30_40,"Lawn_mower,Motorcycle,Speech",,,,,
1,1,9DIPH9ZtCUU_190_200,"Cheering,Speech",,,,,
1,1,2zWY56FOqgA_210_220,Singing,,,,,
1,1,Hno9iyOHbGw_30_40,"Violin_fiddle,Speech",,,,,
1,1,IZuGL8AZrF4_60_70,Basketball_bounce,,,,,
1,1,AR8JmKYCtTM_30_40,Singing,,,,,
1,1,1OmIwQGOHAg_30_40,Car,,,,,
1,1,LYOfjQ24fUo_30_40,"Violin_fiddle,Speech",,,,,
1,1,FtHpeHIK3s0_40_50,"Motorcycle,Speech",,,,,
1,1,2hfcKN22z1g_30_40,"Speech,Car",,,,,
1,1,EGalvFNJPZA_50_60,"Cat,Speech",,,,,
1,1,1Cs8vLUn4KI_30_40,Car,,,,,
1,1,G_hfXzvZ6PA_30_40,Vacuum_cleaner,,,,,
1,1,2saVQ0sDK_E_30_40,"Cello,Violin_fiddle",,,,,
1,1,FCtA8lNaCf8_30_40,"Cheering,Speech",,,,,
1,1,MG4MDWNFn9I_300_310,Vacuum_cleaner,,,,,
1,1,CR_zICJzsPs_20_30,"Basketball_bounce,Speech",,,,,
1,1,8z-fv4jzNNY_320_330,"Cello,Violin_fiddle",,,,,
1,1,DR1i4GYntsM_470_480,"Singing,Speech",,,,,
1,1,FIgNdwihlG8_30_40,"Cello,Violin_fiddle",,,,,
1,1,AHI9ptKW-jM_120_130,Blender,,,,,
1,1,EYjj_alhfy8_160_170,"Singing,Speech",,,,,
1,1,6Bz3O6pokf8_320_330,Cheering,,,,,
1,1,E19KjDgjano_210_220,"Singing,Acoustic_guitar",,,,,
1,1,9974VDWcuXc_240_250,Accordion,,,,,
1,1,JcdZtci-4sE_50_60,"Helicopter,Speech",,,,,
1,1,D3DyCc1fiYk_160_170,Singing,,,,,
1,1,B0sXYJeZ8Xk_30_40,"Lawn_mower,Speech",,,,,
1,1,JCXAPeqwN78_10_20,"Basketball_bounce,Speech",,,,,
1,1,HnWl619pmr4_0_10,Singing,,,,,
1,1,Bic1T7EIP2w_20_30,"Speech,Dog",,,,,
1,1,FjLrVethvZY_190_200,"Speech,Frying_(food)",,,,,
1,1,KngzG6qgxkA_50_60,Chainsaw,,,,,
1,1,BWFubeZlSdU_0_10,"Motorcycle,Speech",,,,,
1,1,IcP_NY2Wv-I_220_230,"Basketball_bounce,Speech",,,,,
1,1,1NPkAuYwtQQ_30_40,Cheering,,,,,
1,1,4zPG79w6VL4_10_20,Cheering,,,,,
1,1,84e71BdlfoQ_490_500,Violin_fiddle,,,,,
1,1,3NxCFx8emUw_120_130,"Singing,Violin_fiddle",,,,,
1,1,BVLQiTalSjg_20_30,Chainsaw,,,,,
1,1,64AHuTLREwA_30_40,Fire_alarm,,,,,
1,1,NTdaW1mu1VI_0_10,"Violin_fiddle,Speech",,,,,
1,1,J6tErSxKYkE_150_160,"Acoustic_guitar,Speech",,,,,
1,1,0gMPUdsQi-4_30_40,Car,,,,,
1,1,MpZ3o5PqkUU_30_40,"Speech,Dog",,,,,
1,1,04z75h6a320_70_80,Accordion,,,,,
1,1,KGl95MApWkg_30_40,"Violin_fiddle,Speech",,,,,
1,1,L37hC2C65_8_30_40,Fire_alarm,,,,,
1,1,Hej-FjNLcx8_0_10,Accordion,,,,,
1,1,P7ny3bW3Dy8_30_40,"Cat,Speech",,,,,
1,1,BmBsMSv_fqU_130_140,Basketball_bounce,,,,,
1,1,7W_nNAwMKfk_110_120,Vacuum_cleaner,,,,,
1,1,MfjUDTHKriw_30_40,"Violin_fiddle,Speech",,,,,
1,1,GxxKF2ODh98_90_100,"Violin_fiddle,Speech",,,,,
1,1,1UmPZEeakuQ_110_120,Accordion,,,,,
1,1,Azt4o5FS1vo_40_50,"Speech,Dog",,,,,
1,1,E1LGYjzNfv4_60_70,"Cello,Violin_fiddle",,,,,
1,1,BZGu3iOutzU_30_40,Cat,,,,,
1,1,1ud50ZJhj60_30_40,Helicopter,,,,,
1,1,8wUh0JvRYoA_24_34,Chicken_rooster,,,,,
1,1,9iDGP2ZCckk_29_39,"Speech,Clapping",,,,,
1,1,LqtdO6-dtA8_30_40,Motorcycle,,,,,
1,1,DzBk5VyuobA_30_40,"Speech,Baby_laughter",,,,,
1,1,AKVyIQoSyBA_131.8_141.8,Accordion,,,,,
1,1,HYDvHXhEt5w_10_20,"Cat,Speech",,,,,
1,1,9vugWX2roX4_350_360,"Speech,Frying_(food)",,,,,
1,1,APIzZpwd0bA_30_40,"Singing,Speech",,,,,
1,1,EGiR_Yw8rdo_170_180,"Helicopter,Speech",,,,,
1,1,GeeZZYkrOW0_300_310,Helicopter,,,,,
1,1,16JRsu9V9fw_30_40,Car,,,,,
1,1,B67xdpbSju8_8_18,"Cat,Speech",,,,,
1,1,13tD0A5hnCU_3_13,Baby_cry_infant_cry,,,,,
1,1,04BtGk9N3VM_30_40,"Cello,Violin_fiddle",,,,,
1,1,6PGj3cu67fM_30_40,Cheering,,,,,
1,1,JZoY1XmXplo_150_160,"Speech,Frying_(food)",,,,,
1,1,EkSuELnoKUo_0_10,Baby_cry_infant_cry,,,,,
1,1,9sKIvLksDMs_30_40,"Acoustic_guitar,Speech",,,,,
1,1,LpSKTQiNhZI_30_40,Violin_fiddle,,,,,
1,1,KHSziUb4y40_220_230,"Blender,Speech",,,,,
1,1,7UL1Xxg_-uA_170_180,"Basketball_bounce,Speech",,,,,
1,1,J2cDsXFuxTc_30_40,"Acoustic_guitar,Violin_fiddle",,,,,
1,1,FrssFjfjx2Y_80_90,Blender,,,,,
1,1,1OULrUoiV0g_30_40,Cheering,,,,,
1,1,4qlHf8VEJFE_110_120,Fire_alarm,,,,,
1,1,NioLJnWI1Qw_30_40,"Speech,Accordion",,,,,
1,1,2YOqcc25y1g_30_40,"Speech,Car",,,,,
1,1,DQJwCqR08Tg_170_180,Helicopter,,,,,
1,1,9f7W-iiwvtA_0_10,Accordion,,,,,
1,1,9iK3dCtvU_w_50_60,Helicopter,,,,,
1,1,IPhgfN64zj0_10_20,"Motorcycle,Speech",,,,,
1,1,0D6qIjcbXCc_30_40,Chicken_rooster,,,,,
1,1,3xF_DFIZNQ0_50_60,Singing,,,,,
1,1,NDtTP08LxXU_30_40,"Violin_fiddle,Speech",,,,,
1,1,7Rc9bJ9we7U_0_10,"Speech,Fire_alarm",,,,,
1,1,LlLJ8g_GLAY_0_10,"Singing,Speech",,,,,
1,1,C3qlm2wJCCw_2_12,"Cat,Speech",,,,,
1,1,0wsv4mGzqj8_26_36,Car,,,,,
1,1,GX6WR8915E8_160_170,Violin_fiddle,,,,,
1,1,JxODuv7XOGw_29_39,Baby_cry_infant_cry,,,,,
1,1,AvWGex33sBM_30_40,Helicopter,,,,,
1,1,KIIMQlFborA_130_140,"Speech,Dog",,,,,
1,1,2aPtGGf0AEg_290_300,"Blender,Speech",,,,,
1,1,60LwGkWKs50_230_240,Fire_alarm,,,,,
1,1,BwCc0LFt0nU_30_40,Accordion,,,,,
1,1,LOqnO5mmC38_200_210,"Acoustic_guitar,Speech",,,,,
1,1,Lxbx92eI3Xg_20_30,Helicopter,,,,,
1,1,OqqGdfv6Yw0_30_40,"Violin_fiddle,Speech",,,,,
1,1,Bp9XGkfOe4I_40_50,"Speech,Dog",,,,,
1,1,JNyg2wd5Leg_30_40,"Violin_fiddle,Speech",,,,,
1,1,LPbp3jJC_kw_30_40,"Violin_fiddle,Speech",,,,,
1,1,-8l1Kgg4b4Q_30_40,"Speech,Car",,,,,
1,1,3YVoBRezPIc_10_20,Acoustic_guitar,,,,,
1,1,GAS-XwgqbMQ_40_50,"Acoustic_guitar,Speech",,,,,
1,1,CzZi6J-YJa0_53_63,"Motorcycle,Speech",,,,,
1,1,0_XgpAewlTY_24_34,Car,,,,,
1,1,KyYjbZIkrn8_170_180,Violin_fiddle,,,,,
1,1,KUN30U9hi7E_24_34,"Speech,Dog",,,,,
1,1,0k2R_wAXLpo_30_40,Lawn_mower,,,,,
1,1,1CbNDQuNq2E_30_40,"Speech,Car",,,,,
1,1,KjR_dFEnmWc_30_40,"Speech,Frying_(food)",,,,,
1,1,Fhr_ugJ2IWk_30_40,Helicopter,,,,,
1,1,CHZfKsmBurg_0_10,"Speech,Frying_(food)",,,,,
1,1,DuGzo5BzdH0_30_40,"Violin_fiddle,Speech",,,,,
1,1,EBCEz-TIQGA_120_130,"Speech,Frying_(food)",,,,,
1,1,EwSMNF75MmQ_320_330,"Singing,Speech",,,,,
1,1,3BzYh0T1P3Q_30_40,"Speech,Car",,,,,
1,1,E7e9VYlYNtQ_100_110,"Speech,Dog",,,,,
1,1,P-zWgfFzQkQ_30_40,"Violin_fiddle,Speech",,,,,
1,1,G2RyVEmPprw_60_70,"Singing,Banjo",,,,,
1,1,I3uwrLwX0Jc_30_40,"Cello,Violin_fiddle",,,,,
1,1,OYuWBPtLu4k_0_10,"Telephone_bell_ringing,Speech",,,,,
1,1,3FsyG-tmP9c_30_40,Chicken_rooster,,,,,
1,1,3mxLXT3XImA_90_100,"Speech,Frying_(food)",,,,,
1,1,9LlWsfiMfx4_60_70,Accordion,,,,,
1,1,0XNwP_cJlCo_110_120,"Cello,Violin_fiddle",,,,,
1,1,5PoCWnv_S-w_430_440,Cheering,,,,,
1,1,9ExOPfJaOA4_30_40,"Cheering,Speech",,,,,
1,1,O0BMvsTFzqU_30_40,Vacuum_cleaner,,,,,
1,1,OQEJ2bjJkp0_30_40,Cat,,,,,
1,1,4CxNpzAg6wI_210_220,Singing,,,,,
1,1,0pHDbw87yVg_30_40,Cheering,,,,,
1,1,IXFNaTHXnqo_0_10,"Motorcycle,Speech",,,,,
1,1,HKGFxrTEGTs_170_180,"Motorcycle,Speech",,,,,
1,1,FEyJ1E5JgUM_130_140,Vacuum_cleaner,,,,,
1,1,1PrfFQL2vF8_70_80,"Speech,Car",,,,,
1,1,INujaLotn54_30_40,"Cello,Violin_fiddle",,,,,
1,1,9IGEUdlzZ3o_0_10,Basketball_bounce,,,,,
1,1,MUn2kwFs0C0_180_190,"Speech,Dog",,,,,
1,1,A7GkagHEjdM_10_20,"Singing,Speech",,,,,
1,1,NRtTpwTMfLI_0_10,"Telephone_bell_ringing,Speech",,,,,
1,1,JVOANA4gpJE_30_40,"Acoustic_guitar,Violin_fiddle",,,,,
1,1,Hvmsl9_FBzA_10_20,"Motorcycle,Speech",,,,,
1,1,JAJ1DRr5j9c_220_230,"Chicken_rooster,Speech",,,,,
1,1,GD5L4h1PvUs_0_10,"Cheering,Speech",,,,,
1,1,2tX_nAyRSp0_130_140,Blender,,,,,
1,1,IOSneDm-i_k_50_60,"Speech,Dog",,,,,
1,1,0f4vjA3OTtI_60_70,Basketball_bounce,,,,,
1,1,1wfDuN1ivds_30_40,"Speech,Car",,,,,
1,1,KUpXnwxFqYw_30_40,"Speech,Dog",,,,,
1,1,DpmGAnJ5aVI_39_49,"Speech,Dog",,,,,
1,1,LXkUfPG3jKo_340_350,Chainsaw,,,,,
1,1,5EFaFY2DC2g_30_40,Accordion,,,,,
1,1,5i4U-Ie3pgI_30_40,Vacuum_cleaner,,,,,
1,1,31y2puKm2Jk_20_30,Singing,,,,,
1,1,4SsN6ljFgO4_380_390,"Speech,Frying_(food)",,,,,
1,1,G9dzSp_hGbA_0_10,"Chainsaw,Speech",,,,,
1,1,7mOmncMvssY_160_170,Accordion,,,,,
1,1,0dvr8M5yO2s_50_60,Cheering,,,,,
1,1,H-tH96gpYZw_30_40,"Violin_fiddle,Speech",,,,,
1,1,1xg5haxzjFQ_0_10,Chainsaw,,,,,
1,1,Ogm1aUkW50E_30_40,"Violin_fiddle,Speech",,,,,
1,1,N0RMZy1TcNE_10_20,Baby_laughter,,,,,
1,1,5o4fBucVDc4_180_190,"Cello,Violin_fiddle",,,,,
1,1,JFFapa_PqPg_17_27,Baby_cry_infant_cry,,,,,
1,1,MK6LoINp3-Y_80_90,Vacuum_cleaner,,,,,
1,1,Hhq21yMTqkY_50_60,Accordion,,,,,
1,1,H_uTAbZv5yQ_30_40,"Violin_fiddle,Speech",,,,,
1,1,I8ouyQWN0FI_40_50,Accordion,,,,,
1,1,I8WTwbL5trw_80_90,"Speech,Fire_alarm",,,,,
1,1,1ZnN90Mq1-4_320_330,Singing,,,,,
1,1,4NxQao9LTWw_270_280,Basketball_bounce,,,,,
1,1,HVfj7oo5G8g_40_50,"Acoustic_guitar,Speech",,,,,
1,1,8Gmughi5Aco_150_160,"Singing,Acoustic_guitar",,,,,
1,1,8rTu0h4hx6s_90_100,Chainsaw,,,,,
1,1,M__iOkB7rt4_130_140,"Singing,Speech",,,,,
1,1,5kNV7dQyLxw_100_110,"Singing,Cello,Acoustic_guitar",,,,,
1,1,P3YZTglOM44_7_17,"Speech,Baby_cry_infant_cry",,,,,
1,1,KrbibdtlinE_30_40,"Cheering,Speech",,,,,
1,1,7O_Q7A8LAhI_220_230,Vacuum_cleaner,,,,,
1,1,B2rNzjbgbDg_30_40,"Speech,Baby_cry_infant_cry",,,,,
1,1,GCUmgitqFdg_20_30,Chicken_rooster,,,,,
1,1,Balb3YXhZrs_30_40,Accordion,,,,,
1,1,F7Be8X0A5nk_260_270,"Singing,Speech",,,,,
1,1,3XPwWNzKcGo_30_40,Motorcycle,,,,,
1,1,KsJatGY4a4Q_120_130,"Singing,Cheering,Speech",,,,,
1,1,IjRbnB2jiTg_30_40,"Violin_fiddle,Speech",,,,,
1,1,8yY2HUHW3Bg_30_40,Vacuum_cleaner,,,,,
1,1,Mw2XcmB1gMo_60_70,"Speech,Dog",,,,,
1,1,JayjEp0uXn8_20_30,"Helicopter,Speech",,,,,
1,1,DZs0oh75KW8_100_110,Helicopter,,,,,
1,1,1NrV05ABUx0_1_11,"Speech,Car",,,,,
1,1,CJRJPX_p1cs_30_40,Lawn_mower,,,,,
1,1,9kMvsXtg2sY_30_40,Accordion,,,,,
1,1,OMif8Os-QPI_10_20,"Speech,Accordion",,,,,
1,1,G3yk9UXVB9g_20_30,Vacuum_cleaner,,,,,
1,1,DXkokg6y4rk_70_80,Singing,,,,,
1,1,69fydql0MUM_110_120,Lawn_mower,,,,,
1,1,6YTx6tYsoh8_30_40,"Basketball_bounce,Speech",,,,,
1,1,LwXwI8oUG2E_20_30,Chicken_rooster,,,,,
1,1,6RdY06_lHik_150_160,"Cello,Violin_fiddle",,,,,
1,1,EOcJ4QhBbhg_30_40,"Basketball_bounce,Speech",,,,,
1,1,FmXhQCqAnUA_60_70,Accordion,,,,,
1,1,HOgIw8typWM_20_30,"Speech,Dog",,,,,
1,1,1bLEamtm31s_140_150,"Speech,Car",,,,,
1,1,0s_BgvPYlDI_30_40,"Speech,Car",,,,,
1,1,2FV62F09ICM_500_510,"Banjo,Violin_fiddle",,,,,
1,1,NMp1T_sMjzw_440_450,"Singing,Speech",,,,,
1,1,GMYYfsSFJaU_4_14,Baby_cry_infant_cry,,,,,
1,1,BfG3syxFWxA_170_180,Basketball_bounce,,,,,
1,1,MuAD4e-oIhM_10_20,"Speech,Dog",,,,,
1,1,LtMa7f9UleY_11_21,"Chicken_rooster,Speech",,,,,
1,1,F1G0mFONOsA_20_30,"Cello,Violin_fiddle",,,,,
1,1,2n7zdUdbwd8_10_20,Helicopter,,,,,
1,1,GYxsfnnOT5o_30_40,Motorcycle,,,,,
1,1,FYZYktcA4M4_30_40,"Speech,Baby_cry_infant_cry",,,,,
1,1,C3q-Zk7DtBE_10_20,"Cheering,Speech",,,,,
