filename,length,feature_length
5jlV3DkSZoQ,23,90
Vw-veOw_YJg,41,161
6gdQZBFkrZg,50,197
09qUhBfyFcc,35,137
35tgiLMsDv4,48,189
17NWn9aa2DU,59,231
A2Pol9d6Mvk,53,209
qIKzxOrcrhE,60,237
1F21UFJiB0c,46,182
dIIiaO12I5Q,16,60
0iSY-w0-haA,37,145
BEJPm8Ewzl0,16,62
a0Hrvh4RS3o,42,165
3AOgy13HWhk,42,165
6HNccHZPKv8,52,205
FJOqBrW13bk,48,189
5t4vQjw30_A,60,235
_jB-IM_77lI,55,215
8bB2BcjSzBU,47,185
5uXUyEf8bzY,43,169
2X0HMEmnLZw,51,201
AEwkS57P4eE,46,181
34PIIFialvk,41,160
792QCGbwgM0,41,160
87jwo4cqrSk,43,169
0jai7WnP5qE,54,213
G62A4AbjLUY,50,197
2i9fQGVF2bs,46,181
0Oobl4xf13w,49,193
3AJuHcjE31w,52,204
Ss1zpZjEaE8,43,169
2UtsZXYAtlI,40,157
1QSpMuxzvkE,35,137
HxMoMMrA6Eo,49,193
qiJ9nNMe-6E,47,186
5RiwMAGHteQ,54,213
1MeRHPU7oTs,48,189
4ooEeN51qdQ,51,201
FhaxyhtVfCA,20,77
8s89f_GMwEI,23,88
0tAn5ugghe8,44,173
O3HG59u1yek,54,211
6zkkTVh9LEA,47,185
3XU8WjwSfPw,47,185
9YSP02Ajvp8,46,179
-wZY0Uvmu1M,54,213
FkS5NOnVsL0,46,181
-qmSO9myL10,50,197
34LA4c312EY,57,225
5KoxZPh8Hok,44,173
8vsS5ZEmXzU,49,191
W_xvBhJ4zEM,37,143
93-fnxqh1hI,60,236
hQYRDNl-lGI,46,181
iXNnJE6gNEk,30,117
WXOAsZuFtew,49,193
-7TdbBZOFC0,33,129
2xlWTgqPUOA,44,173
5WmUpdDdgeg,31,119
TlXWzAEDQXw,48,190
0jInA3DyU5g,41,161
eraH1cL6nPU,45,177
8cwpiWXTiHc,50,197
-1WK72M4xeg,45,177
5miYjd6zC1Y,38,147
UPt4nsc3nWM,22,85
-ry0G6_9kz0,45,177
-cdWYt1nhWE,48,189
-qnlkFt5e_w,21,82
MKXeCiPtZwo,60,237
0dc_-ziH4bA,60,237
0lYCzxUKhsk,46,181
3Z6WE3OB3Ag,50,197
6mdJY-GVdvs,35,137
0_eJQ3UbQ1U,44,173
87Zlpn-KUfo,24,93
2igz_VPCF_g,13,49
IwqD859w2_E,44,173
ee92koqZses,39,154
4WW4pHD3jaY,42,165
kmV2hj-I7Xo,55,217
60f0k61rGY0,38,149
7fjX1T1-iUc,51,201
30OKuAy9LNs,46,181
-hdGrmVCYeI,42,165
6qUpG7Zapj8,57,223
Lxsl_9XeVr0,45,177
9pJslzSCor8,57,225
_cb_U_z_Ct0,48,189
ojLv2Ji6cJQ,45,178
6CuWwi4DTTM,51,201
-c61fWj_Ir0,60,237
-Qap2iJF8pI,60,237
10qlLcyR9l8,13,48
ZwAplWOatRo,37,145
KP-D1hiYPEg,47,185
0Bm9vGOZ8sY,28,108
OKdBVhH7gOY,47,183
6nUBZr30yco,43,169
0dHi1MlhrHw,49,192
-OsJD76IoWU,43,169
62Y7BXIuX6Y,45,177
12oeAh4LY5M,38,149
-PYr_EY1lss,37,144
4kcab5Hg-7Q,22,85
0iX0QmnbrK4,28,110
-XtcU2kiqzI,45,177
1BsUB9fTPXM,50,197
3c-YDuQ6-Uk,24,94
KsWKaewUDzY,31,121
Cof4NHnIRFA,13,48
1KeyjncLC2g,47,185
3_5qzOMET1U,54,213
0ZsqT10ECEc,11,39
58sCPQ3eHrI,51,201
2G4_eviie4w,50,197
1n5WiM-jP8U,11,40
-qXOLFXuutk,44,173
3BENoVfLTJI,39,153
_DPFw3qmnTE,22,85
7HyadsYFKII,42,165
-ypg4VhPQzg,60,237
4rIzM457KnM,41,161
5vzLLPGnSLw,57,225
4RmWO6hrIT4,46,181
1VBHnAVgROw,17,65
tagcgGVNKZo,42,165
1zE6YNiqwrw,47,185
25pbIVdBjYw,36,139
ZahBai58_Ec,37,145
1-9ryaEsFc8,50,197
BBqIMUf9xi8,43,169
0YLAW2XP_bE,49,193
-ZRub1poH_I,41,162
4vL6aRm9tR4,50,197
83dLfXybHtk,27,105
xIztYnMIWUA,36,139
-X2YkS4G4dg,34,133
5RGw1EfmKmc,47,185
OYkZxbD0vr8,54,213
35iM6j01tuU,50,197
4tmZF1TY2HM,45,177
0xcBKwbIlU8,33,129
-ewG7yBehnU,47,185
H9JA9CibQmU,46,181
izGLFfu3VAY,57,225
7qx057kqx1E,23,89
7XhFaY-E1D0,46,180
0YDi-tsfCfk,30,118
a59ivTlYoNk,48,189
0hAK5f1tDok,44,173
FsBC8LIZ7eI,33,129
Bfae9RW7sYI,36,142
9cbm-bR100A,44,173
3c3pq7Oj7zE,38,149
-GoRzL3w8xw,60,237
1Oq2r6RE02M,10,37
KHVZFbmt8xk,42,165
6db7hUr7KEw,53,209
0dwf7HFTFD8,23,90
COe3wDHLKtg,51,201
DYdalOQnx1Y,39,153
5aGq5zUc1S4,44,173
iiAK295_-jk,30,117
1tOY2HM7FQo,47,185
ZdIaekb3H6c,41,161
2uH6sLmJgA4,51,200
2wUsyQY0R5Q,46,181
4Mhz9ZfRcPA,11,41
7OM7kOtTsD0,35,137
3ClbaJYWVO4,42,165
4SCTfaYmwnc,42,164
9YfMwZIJ-JE,44,173
6EHt6k0MCqU,45,177
VfXAJJFrmnw,48,189
38Z3ovrzVdo,46,181
ItIo1RvO0PE,28,109
53fTLZAb8FY,34,133
FOseBorBQ_I,49,193
hgG_Gci8op0,42,166
1ND2PnKkzHA,43,169
CsKZWHvaNfI,48,189
ZaUaqnLdg6k,39,153
8-m1VJ5Np6U,49,193
0J5h0X48VWw,45,177
hplakXdvd8c,40,157
1gR8XtPFLtQ,18,67
-uaTK8sa5Ms,38,149
5y55yGWlutQ,38,149
e5FZidMRJxU,21,81
FMfZWfpusVk,45,177
04X2IUKbDng,51,201
0fXEHqlD1Hw,46,181
1Uq2SHyqGjE,54,213
aUq3toj7jDo,27,105
6RiK4Sg2tSY,38,149
-_KYvb4aTZY,44,171
4CpSIH5CogE,43,169
10kIWlsyYcE,49,193
1MPRdM0vGA4,40,157
3G_gh1HuDZI,37,145
8wxB1jjrtPc,49,193
2dJVcd47iJ8,23,88
86VTF-cwKt0,42,165
2utaodyuqRY,40,157
8hV8Dqdb2NM,36,141
0OcF04iWP8Q,42,165
6NcwDOno-wo,50,197
1k5EjKXVsX8,60,237
2GuH1UJxQOk,29,111
058ahBU2LP8,43,169
BAqaPHXZKr0,52,204
gefp9ta8LTA,45,177
2s_vkDbVsxo,41,161
2YXcqoFlYFY,44,173
8XH7xIWWC6c,26,99
05fWVEnDyDA,47,185
1CMFn84K6Mk,48,189
-RGUSEnACXc,50,197
-o_pnWgdfSI,39,153
_PuBoGoSpog,39,153
4DwLRe4CDXw,55,216
0lTp2ch2d-w,49,193
8uv5OXo2sMw,48,189
t6AXyglx5X4,44,173
2fnqXRC_Abc,43,169
A6kkJoEI6ec,55,215
2da6SvWTVks,23,87
UF0HDsK0fwo,44,173
9-8P2AsfmzU,44,173
3QKfLG7mauA,39,153
8VkF5UWQ5Wg,33,130
4I_M11MNwcY,45,177
iPuIoRYYBfk,45,177
3sYnYraOuIo,47,185
7fHKBwNK0BI,45,175
-W4EC8noDuw,51,199
-RYQN6bHb-E,49,193
05BlevkBrPg,44,173
44cfH6Doy80,42,165
v6A7Iggebm4,28,110
nn25vUXHhdE,43,169
2LSdwiqy44E,45,177
8kOQiGtnrOw,41,161
zSMmaftkVX8,30,115
5zECj5ZXRgk,37,143
26s1fDrdoXA,46,181
CkxunRx3_-o,56,219
0yw8_2q6MDw,58,230
-ezjrq_7T5Y,52,205
5jdY5o-xXQ4,44,173
2_xbORyOjSk,53,209
GD1vgJwYR4Q,60,237
13-sIJt-k6Q,39,153
1ZHIoV0ybVU,18,67
-_gaZzFfzDQ,44,173
dFKYXLU3hWg,49,193
5FOWGfkt57w,32,125
7SdJsHDzHqk,45,177
-FEbnqGk50g,60,237
6MSr7VgWYoY,50,195
8b6bedg2ohM,55,215
10VwxCOt4UE,60,237
4V4Ym3NSXHw,47,185
33bdweWrdnw,43,168
3KegoBHgzu4,43,169
8mnGrN4nwdg,32,126
QpNmxMqXqBQ,32,126
VFCO0JfMUkY,31,120
2s8tM4yCtbw,45,177
9zW-E0XdWdw,60,237
-IlFdaVdEyU,13,50
6KB1nFOZBvQ,54,213
5w0Vzjf0b5M,47,184
Ad1NjLQ2HIU,51,200
1QxDi-op6Qg,36,142
-6GyeudnUNw,47,185
4VLTpekqURg,29,114
0ZhfGqLHByY,12,43
Obs7qVZBcs0,27,106
UzEFRNWEqQ4,48,189
5wZgw3ig6cE,46,180
4OgyY4kz1y4,45,177
5ZUw8QrF17E,47,185
3Zg7skAmzLY,14,51
6v5XDzj9RGc,51,201
5ySvBvJDZYI,46,181
7pYcoCUlHL0,40,155
7LzcWBu-Y6A,44,171
3GTRojM9gJ0,41,161
-bI2-J8lyQY,12,43
-IpGWTs7ckQ,36,142
0rrcR5ML7aI,47,185
1XpJzqPCi2s,49,191
-9k2Z_hxYpU,56,221
-AkrCGMWDxg,40,156
tKIl_QcmzxE,40,157
2b4ACbRvvkk,55,217
2Y-f9zWKpI0,32,123
-30AswTAoUE,33,129
0ycCgEalAHQ,32,125
NZXyPczb6xE,45,176
6sYbxYnwmqk,60,237
-pwgypWE-J8,43,169
sFhwuCH4-J8,41,161
Xhn1pe7OXeM,31,121
l4yv0-9H7nU,52,205
5u8yBe_LLVU,45,177
2Uz5aN8199g,30,118
6bE6neRNXBM,25,98
Cg-6sXWQ0mA,39,153
0knzE1AQ_xY,38,149
0EFNlHiFGmM,50,197
4W95grYH1Xk,28,109
1135eQaRmVQ,35,135
-tlccbUblio,58,228
-VZN4iUSkQk,22,83
9lZuoDTAaDs,42,164
0-RVVvC8kD0,43,170
Fu-lnC9KbdI,39,152
xUh3zW3bkNU,19,74
eM4nDN84gNc,60,237
4SIvARU12AA,34,133
4vrWsmXfMdY,46,181
5Fb4UB7Rw2Q,40,157
0-52H7-ABkM,60,237
2XYd2yIQOHI,28,109
IRYOU5Nx10c,48,189
0xRpeMaCjkQ,23,88
3Z1Q5kk-W3o,39,153
4BMz5f8t9eg,47,185
2quZjuqevWw,45,175
2Zctd8ryM9M,42,165
1FOKvagRg3U,45,177
4nmkq1dhfDs,37,145
4a2cXp1KbnE,37,145
cWWzSdDG-xc,56,221
Qos5iZOP66A,44,173
573QotnRHDY,42,165
ICIG9ubOR0Q,42,167
1Z0JYfpbPc4,43,169
Jj3Ie49Mzik,31,121
6GW2IJDwr6A,45,177
4EvpRRHJ_c4,20,75
1zr3Ugsz3dA,43,167
3N0eacoj16s,16,61
6juv8ca7fyE,40,157
-V6lKFFF1-s,39,153
7b-ksD2UxQg,39,152
-BepfxVqDRA,34,133
rTh92nlG9io,44,174
7249eC4eWkA,40,157
5YPRPCc_vC8,25,96
B1lIktw-MSE,19,71
0FB1avxhG-I,60,237
s_FLZ-ekB2A,47,185
4DXzX4Jt-DM,41,161
GyHmkrrU0ZM,39,153
IgVdF1Igzis,14,52
XYLDjkXAuec,43,169
DHSr8GMQSqw,57,226
5CffrmMy0n4,57,224
JgCZbn4JoRY,46,181
YzCK7OtGzqs,25,97
8VKpAs2kujY,41,161
0MVpGi3PjaQ,46,181
5ZwK1iGmnRg,49,194
6slrqypt4II,51,201
9zeHw1pBZoM,38,147
2cRPzzZV8u0,41,161
57byRCGub_A,42,164
7ETTu8UnUlw,30,117
4Db-g-FYKOA,20,76
BLXwpGCn2KQ,47,185
0iVM2GY3R_c,48,190
0TTcaY-XAWs,33,127
avhgeclEu8k,43,169
3ABx8xzQcs4,45,177
ml07DEX7png,42,165
75oAfUbcvlE,34,134
5IdMConJdQU,57,225
RnNmZMhSj8c,44,173
Ar5_nY1UZ80,44,173
-gBOodnUBbs,48,189
6VExUsXQWDE,45,177
aCUZuMblJPg,38,149
1cHytEzuSSQ,44,173
-ukqIV-MwGA,47,185
_iQ2hXonRsY,48,189
5cprmIwHCII,44,173
1tlANap1p6k,44,173
3RpafqDcGGU,54,212
30urezh_Asw,39,153
B3AEGLkdpCw,26,100
Rf228YRydiY,43,169
9zAUCkNmFzo,44,173
rzsynvpZKMg,49,193
Cpx6FipfbbQ,38,147
1BKWgxolLpE,48,189
7nLx3YgqINg,40,157
3NqV3u8pt0A,41,161
3Q6bR-1HMSQ,38,150
-3Y4NuyZmvA,50,197
lsH-2aCFzP0,45,177
g_DBLppDZAs,32,125
F-yyHi8weHk,44,173
-elLA6vzAig,45,177
0RL4VVwvuyQ,49,193
3EJqSIq-804,24,92
4XYoF6G44mw,50,197
9kaESpBMmME,41,161
0wAN5P5HYZc,24,92
GTNTgEhj6HQ,39,153
SDLwIwg4118,41,161
64xZG8lqIxc,41,161
by5umnFUoI8,48,189
MCa8xcBlBe8,40,157
-ULEGnrT7DA,54,213
--EquRwM9IQ,34,133
H6c8ZDrdUaM,42,165
-c8MRzSY6BI,39,153
3zekgmpog1E,39,154
F2-PKsD5-Vk,42,165
06SduhMtp0o,23,90
dbD0nVfy9RU,27,105
50cOkl6Mz5E,41,161
6cnGcFSqP0w,47,185
-AfJKhf6P3U,48,189
r0sNIPmMxTY,48,189
57Q_RHO0qA8,26,102
OSlYn9hTRFA,49,193
Ac1QcOTLM54,43,169
8VoDhx0Zsxc,53,209
5RVvZ8UTUEI,45,175
3G6CJHZEVYM,43,169
0ESzG631uVU,39,151
14ilaCAChTI,38,150
-8YTu7ZGA2w,41,159
0JVnPufrhQk,44,173
5-7ujLGM_kk,39,153
MBpo7SjWMLk,45,177
-5o4C4ZtHSU,44,172
-KwY9V7esWY,49,193
3-UpzPPs4ms,34,134
-XIpY07w9rQ,51,201
sbZ5Ls141fg,51,201
-LhdkjK8p1c,41,161
8RJOXtHbIEU,38,149
-nlkWWphiaM,48,189
5xVe-bGbbYA,35,137
-yxiMCu_7vc,60,237
DpiGR6_i4Js,45,177
9vcj-6k9Wgw,30,117
-3lvuJ1-KsY,44,173
821ONE20Wic,44,173
0r-jq-oo-mI,48,189
76M0ZQAYcuo,41,161
1gsVyTb-bpI,44,173
3HVKiB3JJjg,48,189
7s9mauGqsfY,60,236
-WyUAnVpexc,40,157
46gkmd8hhYo,60,237
255pX8XH3qk,58,229
9Srnaag2tCo,39,151
Sx3WV9GSOmc,39,153
FQHhMhW4sHw,51,201
VNzEAjztgxg,51,203
DGjkxyD_Atw,40,156
-BmsJloyzzQ,21,82
MxxJWqd5948,41,161
1ZBCG2w43Zc,11,42
LQsjgYb7i90,53,209
ZLtKerokcPg,52,205
-NromfAJyZs,47,185
1bDnMimRNRw,43,168
g7bhQwjUSq0,45,176
Hf_g1O4vnT8,45,177
5n7mg7rsZZA,34,134
bWyrxAZCOhA,42,165
4sXlS5b1ddU,28,109
2aic1tw9QDs,44,173
64Ymtt704So,48,189
2WVYxPWKtnw,53,209
Rnf7M43L6NI,43,169
VUO27HxWQfI,48,189
CTsnrMlKJLc,59,231
CcTh0v2Mn-s,51,201
Evcc0nGFkKk,17,64
0d-mPaguXrE,47,184
0eeiRpeMjcQ,60,237
19MM0-sTE1A,34,134
t3-n6Edtbuw,60,235
5jtMWks8_Gw,40,157
Irx-WWFsQYU,40,157
4dSql5v0xW8,50,197
2E0cXm31egA,42,165
e5fApHXb3sQ,24,91
95k_SAYWRuk,45,177
0Fic-_yXrac,47,185
b13wSZzApXM,40,157
LK0um3j89a0,48,189
-Gq9GTPeFow,32,124
2nmH6YheSt4,42,165
APag9oaOG_w,45,177
DAOiwsHWvAs,46,181
33_YqohDPpE,43,169
FST20t50lSo,40,157
9k7Khcf6--E,59,234
3qFXQFnKt84,51,201
4FTp-xLgWRs,12,43
4i9DgH80kDg,46,181
62Sboyh19LA,57,225
-b_vZ5POeYc,40,156
1-feQHDL-Qo,39,153
3z1dwG4NZYo,42,165
-NvDh4fMiWc,42,165
0jDIN0R1sh8,42,165
-bEkbv9dqNo,31,121
As1qH-6EF4I,46,181
hpmojn45XJI,48,189
59wA0XbPP6g,45,177
4WyUu3T60Xw,48,189
1mIiqLQ0lTI,43,167
dLRlnhW9_Pc,30,118
1LUdHIHko6Q,45,177
5V51JifwW48,60,237
4ZDqNkTEf2o,52,205
IE4pLXxV7MQ,47,187
aOOqSWgmRJM,56,220
HoJJ9jdljtw,43,169
2fpyWh6LWCI,54,212
4g3ntrQGgDw,46,181
-G-o-Y4WuaU,45,177
WMPQ44bukK0,47,185
27ZSldfo0fg,49,193
48iF1l50L0E,55,215
-r33LL85TpY,37,145
-qAs48RJWv4,60,237
1u3hR1PNYf4,42,165
6bEt4H04lyQ,40,157
7V4k-NnQ2-w,42,165
2odAQZHNDRU,31,122
ABEJ-xAreeQ,18,70
-NGTv0zfA20,38,149
wkBzgIE2qlc,47,185
3Lj2Bo20ulQ,49,193
HWAeBWk6O-g,41,161
2syL8-wPM4M,46,181
5wsn8VwsWtM,33,129
0-vcLH45brE,50,196
Yipbny9beVQ,47,185
71FW0VoD4pw,48,189
0OjfW2Rf3SA,47,185
KBi5yWlVwpQ,41,161
GxnUY0u8fY8,43,167
3A5JulzoiJU,38,149
40GvrkNyQR8,57,224
4U7-yPWsR5g,45,177
0QCmjqhcsNU,51,201
1qpMU9J5SYk,29,113
n-A3BJEpmz8,20,75
2sBFY3RZ6uA,43,169
-Gbohom8C4Q,37,145
FtoX5tmMPzM,58,230
-UoTV5by38k,38,149
2EWHjrM20tE,32,126
2JETQ2SuG_I,39,154
fWjgRBl7LNc,52,205
6oT76YWr8KA,47,185
1iNLeP-lOK8,31,121
0WC-BFAMpDc,46,181
1n6JyJt4kJ4,43,169
1--GDPNSdlk,18,70
CxIDfBbwQPA,44,172
3Wr-Xv7JPSk,29,113
2Er_Xy490zg,48,187
5L-Isq-rwRc,41,161
16th_TIPv84,41,161
28ehZa0fzmo,38,147
2tP5a_zb5sc,56,221
JcMhOe-DHoE,48,189
_bAVmK7n0fs,52,205
2CQ7bCvGY9g,47,185
7Cey4yVxuSk,48,189
02jwxV2OROQ,41,161
-O4W3NA5-uA,35,137
n2JanKszFoQ,51,201
XlNjNdHWP-4,41,161
0lXPYBYtBt0,36,141
3sj_-6uX3xk,57,224
6yuPtuABIik,58,227
Vdh_JIJCLxA,48,189
7UMvXLA4iiQ,47,184
cpUEWtVa8PQ,43,169
blx-t1rlHhk,44,173
53foRGhe6LI,50,197
-Vu8x7fsYRk,51,201
-NgPbto1Vr0,42,165
L91DeeZZYnU,43,169
-lshbHAJMQ0,45,177
51WhD6xjzsA,38,149
5DwlGkFX_GQ,44,173
7uPdxlAj9DQ,39,153
-YKCuLVqIWQ,39,152
4Nl7TatAIVU,39,153
8vq0Hz2L1hY,44,173
Lw057CKQDCw,38,149
67cDXYuId-A,39,153
kzxanav4Q34,50,197
wTOSS0cx50s,45,177
5sEi4RDJVZs,43,169
5xqGufR7uv8,40,157
2HMHcEwF95k,40,157
4inDbYLMsk0,42,165
-D9C44rqExM,42,165
DAOwxWEn7pg,24,94
-VJYkfG04W4,45,177
9RxMovjcgP4,32,125
_AUtYTaYMrE,43,169
Elo7Rs9VvsQ,46,181
fFu6-om7EU4,32,125
8mOksvfiImI,40,157
T3f3Y-eO7Bo,46,181
99S_kNvVd8U,40,157
0hKJhmgR5yY,40,157
6DX9trPwU1U,44,173
QKBnZiQ2K24,36,141
4oapd9jq7jI,48,189
-HhLQTm8yTg,48,190
3iNuhKGnDHQ,60,237
7hXHqqBFtRw,43,168
3K2atjzHGtE,57,223
E6TSYy7ikcs,45,177
HOTCl7R7UPA,54,213
3o-OIwrt0mw,50,197
VT-rnRYiNdo,44,173
QPyLES56O1w,47,185
5K6G403jyqE,49,191
4heiBUr2Bow,44,173
ErYkQ0i2v6g,40,157
4aCLgm--Wzk,41,161
A9LkQyImgNI,37,144
ENQli94rpHM,40,157
7WoR1bTCyj0,30,117
13J_WcKx3Qo,41,159
9AXxJYM4daU,43,169
9pO5C-uMvko,44,173
-lWJgyAa4Tc,18,70
AlsDSDTiaWI,46,181
4yqIXHBF3Cg,21,82
ddshpQOcrG4,41,161
2a4Edl7MslM,57,225
-pn-dj0g8aM,20,75
1wnDlGkx0V8,41,161
-Lei1usDQio,48,189
-Vc_2XxreJU,49,193
7t4msQxCG44,42,165
U_mxX7h_I_4,43,169
1Bitv6WwIJ0,45,177
61Q5iwBCa3U,47,185
4-JleWrZGq8,42,165
8F4qCybC6Mk,50,196
1S8jJrEQNHQ,37,145
pZG7CaFjEiQ,13,50
-tONalCF3Uk,11,40
5idyiZ2MIpE,43,169
3L-zuyZlGPk,44,173
-gxXtQyH-JI,48,189
0ktMpJ2XwRk,50,197
LUHZB7Kx7hE,44,174
g8ATSr0C6K8,28,109
1WY3k28eU7U,59,234
6Zn4qXw-2ew,46,181
-ThiuDnVGMU,38,149
-s9C019aPCg,29,114
6MCu52dQQWA,39,153
7rG2VJq9XgQ,14,53
56sgczm8lTU,45,177
9SD3EzyPpXk,37,145
Wqqx_L1r8Hk,41,159
2NQUWqAFUy8,60,237
IBVid9pEOwk,23,89
-r4vbRkcndc,30,116
7zNCY45TUCw,41,161
8NIUfORnK8g,43,169
1JF_VjVjPA0,43,169
2SchRwpsT7s,25,97
2XFDeP2JVBo,39,153
25RF3HCyudA,60,237
5KKGXv2yOuE,44,173
4tKABFCejJo,32,125
2U6as8c6-x0,36,141
7JCV2B6mbDo,43,168
5EuBcQr-alc,25,98
-XUb2wq5U7E,44,173
-UH48WJgxZ8,49,193
2M9-tXoXTcg,50,197
40xqOdDYf24,36,141
07gGeI7LT9s,14,52
3RA26K_F3mQ,56,221
2_ljDKHdv6g,51,201
VhVKUAk6_R4,59,232
4eNwTBQ6gsI,40,157
03ZczP4rc90,48,189
3SxbsmCHrmw,17,66
3RbcEv0VSOA,48,189
6XOZel2Nvpg,42,165
-8cgbhIR_pw,42,165
3fGA82xboe0,22,84
Q6CqAFnP2Fg,42,165
0BhhYpDRwVY,47,185
Tu1BmVrerAw,48,189
JnHUCnS97x4,51,201
-Fec3Hn9D5I,32,126
PXvygAB5RKg,59,233
MbPDtTzoOj4,47,185
YeOcx1ox5gQ,43,169
7T7YXd1NYmI,56,221
2o5phG83XgU,12,43
-xqGc4Bbm9Q,10,37
0kuIP7fLNpM,34,131
5XkYYom37u0,16,61
4hcHr-U9cgg,42,165
-sE1m7-2urE,45,177
66_YKlaJzLc,51,201
057oMltpCUE,57,224
02y47TykhCI,32,123
kDx7E3WanJ4,40,157
2DaEW8tcMvo,46,180
5GXG8uNK7QE,45,177
0KKo3j---_o,15,57
0vHbWHpryDA,52,203
hflYLQsp9VY,34,131
1qPK0R15kUA,49,193
0yxJzCQW5zI,56,221
Q4s0TqE0jUQ,39,153
8EJYBqykSjs,31,119
4OFgmRSehl0,41,161
7eMF2dZCkq4,45,177
42AJLhPyyK4,47,185
KXn7InqM3yo,53,209
1aHGrVdoIas,12,43
4xm2a15Ds90,44,173
06JVJbOIFno,51,201
6gMuI6vSK6k,45,177
1G20_5e_WgI,41,161
66vJUlO53yo,30,118
ifHRDBx-ctw,44,173
0lPcHRhXlWk,40,157
wTduj6YOVuU,60,237
HOyov3OS0a0,46,181
-6tJgFlNo-c,43,170
R40DkjVSHl0,25,98
6GnmC5F79Ec,45,177
-m5SJm-7CAs,44,173
He7jOq1MZH8,38,149
-jc0RWAooVI,46,181
1644FIUWpp8,51,201
3UNrlWS46wI,49,193
45vJ2UJrdu8,60,237
2VobmHXDsfI,49,193
03anSMXRpn4,41,161
dmDn2Tqsyeg,47,185
AnpZ8X_mBkw,40,157
1CjLsLG5sbY,50,197
_dvVfWzJlDM,38,149
9Yl8uVZ-Y1U,41,161
2DcuR1OxXy8,43,169
8-b-6bZ2q18,49,193
fuouA3RBqGk,40,157
7bdDCI8Q3mY,36,141
W7u5kEt-q-8,27,103
6fMb-K4G1Ws,51,201
4Iq0UsC_cqY,47,183
-XTdxysGplA,44,173
Ga6yoYQFbxo,29,111
7QZ0-EKMOpY,27,103
an2mZpaPTpA,43,169
1FyjAvZvSfs,42,165
0bvgm0bORBA,37,146
0P-NaNZgJcE,34,132
4j7GbxZQjB8,29,112
1_v3cedYb74,51,202
HtdYwnS791U,40,155
-XGut2JYyO0,32,125
Bd1VkLMBnz4,24,91
1_oZWCKCGqA,54,212
-NPu34as_OY,17,64
JDrpFuzeeX4,39,153
-Nis-cumBYc,38,149
npcdmOfFZis,41,161
3S8bTR5VAp0,51,202
AgtY6m-b3Gk,49,193
0RZRFj7zDnQ,49,193
5aUuN0pydtE,46,181
5XMs35xnGhY,50,197
3R579VFW_5Q,49,193
3tpRdxazf0E,30,117
46yPXf2DwXc,44,173
8r5n1V-S8v0,59,233
5eRKrd6JANQ,46,181
5m8F2mUBYKA,46,181
X8E2Vx0ygi8,51,201
AfkdeLK90zI,17,63
0pCZv-fF-XU,51,201
8oOU2Fk4sYs,43,169
0EUIJsiKAx0,39,153
-dSGWrwYbHc,31,120
5hoASlZuPeQ,47,185
-hChcJAh5N0,60,237
1qsZurB3MXQ,43,169
AlPu_yxLT2g,43,169
3cf7RD10JB8,52,207
YuvmP7Lsr2k,60,237
4GzG-sDAwmI,39,153
LDzb6mVK4nk,32,125
0Iy18mslB4A,41,159
